id,licenseplatenumber,color,yearofproduction,price,modelid
133,wzxskxt,ivory,2007,42413,246
134,kiakvkz,violet,2012,5269,669
135,euphhuh,yellow,1997,34082,735
136,imuiltf,orchid,2014,6399,686
137,ajvugav,red,2001,45904,254
138,ufpzvll,grey,2008,20792,185
139,tohfdim,teal,1999,71024,794
140,mldimux,salmon,2015,89843,298
141,ltxafdp,lime,1993,94200,379
142,jiaolru,teal,1993,82684,32
143,bqpbngq,silver,2001,66382,402
144,vwtdwxh,orange,2014,79474,341
145,xhivxja,azure,2016,16804,273
146,jvzvldi,lavender,1990,80537,124
147,oozxpxi,plum,1996,52622,743
148,oqueccc,"sky blue",2010,37653,47
149,xygroba,fuchsia,2005,80972,425
150,fnmvzed,gold,2008,60499,338
151,hllfzgi,blue,2006,65961,756
152,paqbtwr,gold,2007,31444,888
153,khhjefp,black,1991,33736,650
154,ztcpdfq,purple,1991,98303,644
155,djfbcae,indigo,2015,53702,246
156,qdinnas,red,1993,75181,363
157,tdkakyz,green,2014,67372,568
158,dwhxqgb,white,2016,78778,403
159,hfjlmid,cyan,1998,11414,564
160,dyyjxku,white,1997,66536,832
161,bbjxdbj,yellow,1992,67572,460
162,ojzgiik,olive,2015,69283,691
163,prgynkv,white,2013,79500,637
164,xfoqwhc,turquoise,2008,99268,465
165,cxjapfd,turquoise,1995,29352,729
166,codlhcg,green,2000,18289,257
167,phenzfo,lavender,2013,83239,857
168,wolwtdw,orchid,1993,97669,426
169,xvdwqdp,fuchsia,2012,56694,962
170,jqjzorj,maroon,1997,11900,529
171,dcoyucy,lavender,1999,48682,609
172,wmhesuw,fuchsia,2003,55584,738
173,zzwghdq,blue,1996,21038,894
174,fqvxxlz,gold,1997,85284,350
175,vjewhdp,red,2016,84389,196
176,wpexzeu,silver,2001,8174,225
177,omamuql,pink,2005,73541,580
178,mfrxcra,olive,2000,64868,791
179,jjvmyjm,magenta,1990,94821,93
180,phsyybo,salmon,2003,16269,184
181,dkjcfnj,lime,2008,59855,962
182,xwjsdao,orchid,2005,94000,223
183,sxgvnlh,indigo,2009,69826,978
184,kgafrph,white,1991,65344,353
185,vetager,tan,2013,9382,689
186,cdoracy,orchid,1995,52368,25
187,clqfmmu,black,2009,48938,714
188,kuifqnv,blue,2012,33125,504
189,tamukwa,salmon,2006,19156,20
190,mpwgjtk,azure,1999,17639,510
191,rkolyfe,magenta,2000,82317,260
192,waihyui,gold,2008,99935,132
193,yfiyzua,green,2000,38889,83
194,dlnsznu,teal,1994,36907,910
195,mfcsfmr,cyan,2017,74997,145
196,okelboi,green,2017,29936,939
197,opszdso,pink,2015,50224,884
198,mfhwtox,violet,1994,95124,393
199,lqxxhkj,magenta,1996,24717,63
200,jmobboz,plum,2007,26158,822
201,gqfhbnk,fuchsia,2008,74191,132
202,ggtziej,red,2016,85483,710
203,iggvbwo,salmon,2014,4065,178
204,pbfpndg,indigo,2014,18794,464
205,qgemsqa,azure,2013,32568,535
206,kltqomw,fuchsia,1991,14052,107
207,vavghgt,teal,2007,30633,108
208,uhbijmw,magenta,1990,28577,951
209,djntqmd,cyan,1998,42243,622
210,pglpwyc,purple,1992,81132,563
211,pnbrbtu,purple,1998,30538,1
212,dkztfvc,pink,1995,40946,542
213,jndstwr,azure,1995,6879,367
214,noudylr,orchid,2005,41751,356
215,ywplrgd,magenta,2007,11762,51
216,wkrcxjy,yellow,2008,81897,633
217,cneqzeu,indigo,2000,99899,841
218,hnyxpxt,ivory,1993,81698,915
219,alaqhco,yellow,2015,87623,120
220,jbgwfdx,blue,2011,77582,515
221,guvfpnr,silver,1990,81753,60
222,utdndhj,blue,2013,42000,785
223,ylplgaf,olive,1999,91163,371
224,tkbqscb,azure,2004,60860,39
225,jqyrewo,violet,1991,12213,686
226,ksxsyzg,yellow,2005,89437,712
227,fdqbowj,"mint green",2001,26092,18
228,qdztivq,lime,2007,52659,641
229,csvbouk,maroon,2008,83395,407
230,wignort,olive,2002,18496,538
231,tqmhnve,"sky blue",2001,27253,512
232,fgcllqv,olive,2015,53927,82
233,fbwofuo,turquoise,1997,84390,687
234,pddbnlw,maroon,2004,48207,717
235,ixeyqqy,violet,1992,70100,570
236,rgmjagg,silver,1991,63324,793
237,mebpsaj,orchid,2003,73415,460
238,yzojyis,violet,2016,30023,316
239,iaaavnk,purple,1992,23364,602
240,jnpajkx,turquoise,2004,8290,698
241,icdjtlp,plum,2014,72384,975
242,vcnlzpk,"sky blue",1990,96427,160
243,anjlypk,red,1997,94354,411
244,dvjpmmr,turquoise,2014,71873,108
245,btgwyoa,tan,2002,29527,90
246,wdzewde,teal,2016,52098,187
247,hdwxflu,silver,2004,65029,498
248,twwojha,orchid,2010,18201,67
249,fpghfzs,red,1991,70408,147
250,foerzln,olive,2004,45538,897
251,lawdmam,olive,2008,96838,909
252,vqfidwb,salmon,1996,49459,194
253,eynbnjx,cyan,2000,88485,138
254,kiyodpg,cyan,1999,95311,356
255,auvbevy,orchid,1999,69628,876
256,vmsgool,magenta,1994,40733,379
257,wpmwiba,maroon,2004,25086,386
258,rsneegq,"sky blue",2002,39305,123
259,ltkuviv,blue,2015,66080,223
260,kudsyub,red,1994,96306,644
261,csfjgzx,salmon,1995,4831,86
262,dcrwcxu,yellow,2011,10930,662
263,kfyetel,lime,2012,5041,565
264,qqlupis,azure,2017,45113,733
265,qksrnye,lime,2010,10637,534
266,obvtwae,fuchsia,2014,24453,836
267,nzuazqs,teal,2006,42214,564
268,lbosbqx,lavender,1995,47908,470
269,kgnbjbh,indigo,1991,40902,330
270,ishickz,fuchsia,2013,94475,390
271,wtzojir,gold,1996,84066,107
272,wdkbjrc,tan,2011,12108,742
273,hgsylrg,lavender,1992,9747,214
274,sbpriou,yellow,2000,96911,36
275,aqzidtu,orange,2011,58758,178
276,amnwxnj,olive,2008,67012,540
277,nraiphc,"sky blue",1990,39277,268
278,whatczx,salmon,2017,98677,302
279,drbkpsh,teal,2011,34081,152
280,jgotuzt,silver,1991,86175,381
281,wukyyrc,red,2011,11250,978
282,aotxcgn,cyan,2015,62301,122
283,vgogzqt,lime,2016,70623,995
284,jbzjcvi,black,2017,24417,768
285,ccmrqiy,fuchsia,1994,64851,488
286,cawxnzl,gold,2012,12046,897
287,isgomed,tan,2010,96309,73
288,sginsjo,pink,2003,71775,839
289,jopqfph,turquoise,2005,51467,626
290,yjtunvr,silver,2014,73632,896
291,emtjcut,gold,2009,18927,401
292,pprazmn,indigo,1996,94091,156
293,kggpjhm,green,2004,57356,310
294,rlwfmrr,blue,1994,42599,608
295,sgjoxlq,indigo,1994,14366,25
296,hucwkuu,ivory,2008,86401,75
297,bbxfixn,turquoise,2012,97437,19
298,ngojlwo,lime,1997,8962,206
299,chgfgil,"sky blue",1996,96781,417
300,usmscdb,orchid,2012,51322,163
301,qcizrrk,black,2011,87765,967
302,swahfsw,plum,2000,23393,695
303,tqqzxbw,"mint green",1998,31957,840
304,crzjlfs,"mint green",2008,50324,417
305,yxajojq,maroon,1996,66659,222
306,lfjjqcz,"sky blue",1998,43353,725
307,niepede,pink,1997,34607,203
308,eduqrmd,lime,1993,29685,533
309,lxtplet,pink,2014,19890,682
310,kmigodq,orange,2017,76509,263
311,rkcyffo,indigo,1997,62680,262
312,uwjtqie,plum,2003,97943,313
313,elrbwkr,gold,1997,76286,406
314,rbxbrvx,cyan,2008,80695,730
315,uycekqh,yellow,2000,99715,221
316,gyxdpqq,"mint green",2011,10153,569
317,ewexkks,indigo,2004,36001,842
318,gthoiwe,grey,2002,22025,52
319,bvruupi,grey,2002,47226,497
320,lcrrhhp,grey,2007,19943,359
321,mwzdbsh,teal,1992,47122,168
322,nfiowof,silver,2002,49549,689
323,islvhmx,ivory,1990,60434,601
324,taehofa,lavender,2001,72170,277
325,suwcxui,black,2004,31718,578
326,npvgnvg,teal,1991,82701,125
327,tqkktue,orange,1993,16936,293
328,jqyvcnf,turquoise,2010,60957,815
329,ghlqslr,azure,2014,43300,489
330,tmcrrhi,lime,2013,67505,434
331,svostmp,grey,2004,88639,206
332,mffxswr,red,2007,99713,356
333,ejxcead,cyan,2005,35814,317
334,sxlqdfr,orange,2016,67244,120
335,vajxloz,pink,2004,73151,699
336,lbliqlv,silver,2005,4216,702
337,ommjayy,olive,1994,32487,698
338,uxavrxt,pink,2002,11062,82
339,caoeldw,salmon,2004,2813,403
340,eqatqiu,indigo,2002,33614,26
341,bzebskq,maroon,2014,44621,489
342,uklxfbd,red,1993,54640,695
343,uflchij,turquoise,1992,20953,324
344,pjoamiq,azure,1999,7088,124
345,zwxrnyz,magenta,1997,26460,439
346,onnliyb,pink,1999,63479,890
347,zzgpjsd,orchid,2010,30014,846
348,mxgucyv,black,2006,48448,68
349,cvbitzf,plum,1990,21419,396
350,wjglian,"mint green",2015,78614,199
351,rkkeiag,maroon,2004,71345,163
352,rgekxdv,pink,1996,80803,624
353,jrsqgeu,maroon,1990,83301,182
354,rcaontx,black,2009,15739,305
355,fyfyaue,violet,2009,82743,921
356,xjwlnmi,magenta,1998,52283,313
357,aetwuwr,indigo,1992,43262,758
358,lqeldib,white,2005,3043,538
359,xjjyxvh,green,2006,13245,296
360,wbntcdc,cyan,2014,24718,792
361,zmytryt,white,1995,13459,600
362,uvohgso,"sky blue",2005,21325,596
363,lkcbgcp,magenta,1992,91412,216
364,qufnffq,teal,1997,18843,424
365,opfymsx,magenta,2009,55558,126
366,qcwprjm,indigo,1997,52902,2
367,njsptze,magenta,1994,48087,600
368,yzqymro,salmon,1999,75280,71
369,dlbmlep,"sky blue",1992,62202,151
370,zkmlwot,orange,1994,75002,423
371,ybunylz,tan,1994,20321,52
372,jzarnfg,red,2015,51374,385
373,lswjwpm,teal,1991,15769,501
374,yrkkpiz,orchid,2015,69522,167
375,ocgerro,green,1997,68874,915
376,tdgymid,ivory,1990,16665,199
377,olmsfbo,lavender,2015,57199,407
378,nmhviux,green,2005,24720,740
379,jjicegd,plum,2006,88676,483
380,mowqwrt,cyan,2002,16701,243
381,gnxixrk,violet,2012,34917,658
382,oulyeot,orange,1990,34966,311
383,mwtyirf,purple,2016,39609,530
384,uwgelbg,red,1991,62329,56
385,uounuvq,cyan,1991,54972,718
386,uuagzrj,magenta,1990,51218,412
387,qllxboy,maroon,2003,52781,174
388,qcyinek,teal,2008,78988,362
389,axhoqhs,purple,2010,28548,187
390,luiytsw,purple,2002,78605,468
391,jgiltei,green,2001,79197,365
392,bhkcopq,olive,1996,22314,893
393,gdugzos,green,2008,92972,931
394,xhyjjvm,"mint green",2015,50703,223
395,hcgnpov,indigo,2014,79768,192
396,xmpoqts,"sky blue",2001,70518,991
397,wngmzje,cyan,1995,6306,1000
398,hykwfvl,lavender,1998,76430,116
399,wcldpol,magenta,2009,8789,144
400,cffbuyc,lime,2017,91196,556
401,gdpphfv,lavender,1999,65624,460
402,cymxlfp,turquoise,2005,90339,5
403,pzaztvr,silver,2002,88008,47
404,pxeiwqh,olive,2000,48303,871
405,zobztlx,plum,2014,98560,118
406,iwvfjcw,green,2006,7311,434
407,bunxfex,olive,1994,73056,717
408,etdhqws,red,2011,46692,205
409,zrwnety,yellow,2008,43957,319
410,imptbtv,green,2011,24153,345
411,kbmrzof,teal,2015,14470,223
412,fpgdtef,orange,2001,2958,814
413,ktmqkic,orchid,2016,68049,345
414,jygbfsa,"sky blue",2013,33458,771
415,etkwycy,blue,2007,41748,552
416,pkpxjov,orange,2004,83321,452
417,bvxnoto,gold,2000,28618,878
418,fbkqieh,orange,2007,97851,976
419,exbwoqa,plum,2013,32297,293
420,cpdeahx,azure,2000,20249,67
421,cnqlxzk,black,2017,36171,757
422,ldjhxkf,gold,2014,50582,681
423,ujbjnzl,pink,1993,38655,705
424,zfpeliv,indigo,1996,77057,827
425,vkcienq,fuchsia,2014,42858,181
426,azcrfuc,olive,2001,88884,295
427,muyykkr,red,1992,18947,561
428,tnjkzkt,tan,2016,75110,799
429,srmmzbh,azure,2000,56308,717
430,dvtvels,azure,2016,60429,557
431,iskcfxs,silver,2008,55458,327
432,dnhzwcj,salmon,2016,18291,374
433,xymiyfx,yellow,2009,43011,709
434,qxktlfx,gold,2015,44627,757
435,nfceqlb,fuchsia,1992,8868,817
436,lonmhht,grey,1999,39794,986
437,tgrangm,turquoise,2002,40888,955
438,bwgitmh,grey,2012,21785,375
439,rnuxrxe,grey,1994,35629,799
440,btorzzk,salmon,1997,69125,609
441,ourekmo,cyan,1992,32140,342
442,ydjhokr,"sky blue",2001,41654,283
443,mzqduif,fuchsia,1993,56085,301
444,hsvxsaa,yellow,1999,19787,648
445,azduzed,salmon,2012,30938,773
446,zrvoxyf,white,2004,92468,426
447,emxlyxt,cyan,2006,88257,167
448,lyylzgt,teal,1994,66574,206
449,cyhcjmf,grey,1990,40637,836
450,spuqtbd,black,2006,74929,586
451,vpzkxky,lavender,2011,57959,981
452,aivfher,maroon,2013,34819,778
453,avnlbcb,yellow,2001,75879,948
454,uvgaugs,plum,1996,94336,168
455,kpafhoy,blue,2000,6900,661
456,gzxpnoo,orange,2010,60394,673
457,axnzqhj,grey,1996,18229,259
458,pwfpuqm,"mint green",1991,17743,698
459,zlyxzkn,indigo,1997,45394,941
460,zcchbhl,plum,2014,41724,864
461,ktbbiel,"mint green",1992,53845,529
462,dfokumf,cyan,2001,94320,668
463,frvszyy,black,1991,14029,882
464,styqbmj,purple,2002,27905,120
465,yfcamuw,pink,2012,66900,503
466,ljgbwcf,lime,2016,29005,866
467,khqndtd,teal,2000,70463,850
468,wrvlvff,orchid,1997,63746,14
469,kimiucu,fuchsia,2005,3216,220
470,rdwlwyw,azure,1999,40667,850
471,ncnjliy,salmon,2011,13470,316
472,ftvezrf,orchid,1996,4228,978
473,nhtivyx,"mint green",2008,37381,50
474,dvkfrrp,indigo,2007,29516,416
475,dcgsnox,white,2009,67111,525
476,znjqlxu,green,2000,53736,700
477,ebxxdpg,silver,2015,98830,329
478,tzbthdo,salmon,2017,31549,400
479,nnqpacc,turquoise,2002,44967,66
480,oaoymau,lavender,2007,24068,985
481,jizjpsj,cyan,2014,96400,587
482,pmuqxql,red,2016,71382,241
483,hcptcge,"sky blue",1996,80628,396
484,tpfxonj,tan,2000,9374,458
485,dlldcel,fuchsia,2008,43430,200
486,ichdmot,cyan,2003,13605,892
487,dcjxxhx,fuchsia,2006,72567,820
488,zpudlgw,orchid,1990,11531,530
489,qbnovpx,plum,2003,41117,924
490,mcnjvdp,teal,2008,84134,529
491,ldmqssn,azure,2012,3134,352
492,ajgbiyl,lime,2009,51435,507
493,smblcaa,salmon,1992,18716,110
494,vmvleia,black,2001,18300,865
495,dmbuzrb,"sky blue",2011,76670,13
496,cttujua,magenta,1993,30259,126
497,lkdpxwa,blue,1993,56088,399
498,iytnltz,magenta,2005,59131,537
499,roaiwfx,teal,1992,19997,547
500,mgrfomo,maroon,2000,95725,942
501,cqqgexj,silver,2014,43915,275
502,nnlwwhb,white,2016,14809,32
503,eopzxfx,ivory,1997,52154,834
504,ehrpjlz,magenta,1995,35194,694
505,oqijzvf,gold,2013,93434,780
506,eiezbtm,teal,1997,86817,763
507,voonsmb,yellow,1991,90808,836
508,autimyf,cyan,1994,84747,292
509,mqsxcei,violet,2010,35273,114
510,lukqhjv,yellow,2011,51517,395
511,rljbszj,ivory,2001,10585,898
512,hwlmwha,azure,2013,43821,699
513,vhuewhn,lavender,2003,60372,418
514,wghsokr,silver,2003,49008,137
515,uwzwxeg,indigo,2008,58327,762
516,hacotfq,lavender,2009,46252,352
517,pdqrcbs,indigo,2009,34590,464
518,ogweynv,blue,2000,52552,212
519,hracdgk,blue,2007,75385,659
520,vdlqpkp,lavender,1994,14408,754
521,fgigrkz,"sky blue",2005,91573,987
522,lrtpayl,teal,2016,86905,310
523,utuwpqx,"mint green",2001,88021,418
524,coqbjao,magenta,2003,37836,917
525,amydtrf,lime,1998,57711,336
526,lcocaua,olive,2008,86076,862
527,lrqyfqu,silver,2002,88657,961
528,hffptvd,ivory,2008,13806,617
529,kbjoxlh,fuchsia,2003,2275,278
530,nsnpwip,purple,1995,89899,713
531,nseebzj,black,2014,42595,54
532,mhiijte,salmon,2000,71509,510
533,svjszfp,pink,2009,93913,944
534,fqqpkpg,indigo,2004,62201,988
535,wzsgbkm,turquoise,2013,6263,363
536,xxqnlvq,red,2005,96621,278
537,tdkemnz,yellow,2000,65913,189
538,zaunici,tan,2000,10822,162
539,keoczoi,white,2004,51131,284
540,sfgvcnz,orchid,1999,43892,792
541,ciwbyax,green,2007,78054,519
542,rddvszc,"sky blue",2004,94575,683
543,ssyfkcu,green,2005,39016,623
544,xukpyjb,lime,1995,35065,822
545,imeserg,teal,2005,49302,649
546,awhohbg,fuchsia,2013,35310,568
547,cmdheaq,green,2012,58303,480
548,bxcgtic,fuchsia,2004,28304,684
549,zmayvnt,pink,2008,17052,722
550,qhsluzk,azure,1993,57422,92
551,yjnyphn,"sky blue",2001,70110,382
552,itvcjjp,lavender,1999,2354,198
553,uvwxcgi,violet,2002,60079,752
554,ntnrsfz,silver,1997,19896,88
555,yjqdouy,salmon,2008,63868,141
556,qxhoklc,indigo,2000,75043,495
557,jofjzzb,magenta,2016,37165,999
558,tnglbsf,indigo,1996,32591,316
559,cpdlhjz,lime,2004,9807,626
560,qdgdzrp,fuchsia,2006,81536,732
561,hpwhgvv,tan,2007,68056,594
562,whrhidk,cyan,2010,28272,767
563,keyludl,cyan,1999,71030,963
564,rsmecvu,black,2011,14178,621
565,opjjpmw,black,2011,85669,184
566,jgpgfdv,grey,2006,28129,194
567,jilgbfj,"sky blue",2017,83773,314
568,bfbumyx,pink,2014,48566,166
569,ansnoig,orange,2015,54243,195
570,atcpxjy,maroon,1997,14802,445
571,jbuvoqi,gold,1991,54824,70
572,aoylndn,violet,2008,28437,338
573,twpppfr,ivory,1993,5367,70
574,hxeqcpd,salmon,1996,9913,799
575,gvnccfs,plum,2017,4756,778
576,eetpidw,cyan,1996,51314,767
577,zffdrca,"sky blue",2014,20561,543
578,bhhmgso,turquoise,1991,11426,691
579,nknfjiq,lavender,1997,7520,146
580,cwmlahh,maroon,2003,48406,151
581,jihkycl,purple,2004,77747,556
582,grnyrtv,black,2012,94185,519
583,qiemnyh,red,1997,58561,360
584,dlmtwps,pink,1997,3828,797
585,xmpywly,magenta,1998,16149,864
586,kkvpjdz,orange,2003,71321,630
587,zakoheq,yellow,1999,54151,347
588,zqhelku,red,1998,35224,669
589,hirackw,lime,1992,35002,517
590,yjhyxmi,violet,1993,7862,156
591,kcwxzuk,white,2002,98552,855
592,cjruntg,fuchsia,2007,64681,676
593,ymwjiun,azure,1990,37825,157
594,ptbfhvy,ivory,1999,74505,112
595,mlqgzdy,lime,1993,62773,847
596,lpyneqx,indigo,1993,93914,647
597,qpcrwwp,plum,1995,64929,500
598,tbkztle,silver,1993,73714,396
599,bquqpay,silver,2006,33387,922
600,sxtiiur,"sky blue",2001,64415,563
601,varnkym,indigo,2010,15380,690
602,fxspvmg,cyan,2017,85349,739
603,thsppos,red,1996,69286,773
604,jlsiuqm,lime,2012,7263,976
605,xcvcxhg,gold,1994,5780,465
606,acfxyaw,"mint green",2016,92473,731
607,qligaih,silver,1991,25815,975
608,kkriplg,pink,1994,21452,195
609,oatedmj,fuchsia,2002,9436,28
610,shnnqnw,magenta,1991,76794,619
611,efnmump,teal,2006,13851,813
612,aldhfsr,red,2003,77310,168
613,ngngaco,azure,2014,79429,954
614,omsfxzk,green,2012,22477,163
615,mnzchro,olive,2010,94177,968
616,vnrrwzp,green,1995,45380,943
617,unvlrxi,gold,1997,43037,109
618,pusbamh,teal,1997,53385,367
619,wuktkuc,black,1998,51138,228
620,xzbhnmb,azure,2014,86343,788
621,xqisgoq,lavender,1998,2010,393
622,yaqvvlh,gold,1993,11919,711
623,plrvnfr,blue,1994,38846,337
624,ntawutt,salmon,2011,14513,979
625,zdyolck,black,1993,90699,23
626,vsjsukk,cyan,1995,75074,151
627,nfibmrs,lime,2012,95783,77
628,rwbxznx,plum,2009,5342,694
629,mttlwhb,purple,2000,27008,513
630,xzsshgm,"sky blue",2009,61392,506
631,wbrwftr,fuchsia,2017,13865,262
632,tpmjyyq,violet,2012,44227,253
633,ahledhr,orange,1999,92196,684
634,hfvjity,lavender,1994,86305,219
635,gvgyeua,"mint green",2005,25883,520
636,xuzcpfe,cyan,1993,72873,379
637,lqeykaf,magenta,2017,66537,353
638,yunemmy,"sky blue",2015,24523,821
639,rabawvs,lime,1997,70535,586
640,lwaizuv,purple,2007,90963,928
641,lmkzivt,violet,1992,88120,273
642,huvhpbm,indigo,1998,75368,830
643,mnzntkv,fuchsia,2006,69621,636
644,eavumsr,purple,2013,60062,699
645,teyedlx,magenta,2007,74525,717
646,lzfktgj,tan,2002,50951,781
647,hcoctmj,plum,1996,24373,217
648,mznqirz,silver,1997,23922,849
649,fnpbrud,plum,2007,74010,451
650,ubwhobp,gold,2015,98821,655
651,asnhhei,violet,2016,53955,647
652,teixilj,silver,1992,46654,447
653,zdmojhj,green,2002,65819,379
654,gazcyls,cyan,2015,10324,923
655,djejhym,silver,2009,55241,605
656,xdmfcmv,purple,1996,97469,837
657,scnvrzi,magenta,2007,81753,771
658,ymruoxa,tan,1995,29501,512
659,uzyjvtm,ivory,2000,43878,97
660,wrrosak,white,1990,59447,404
661,cpdjflo,cyan,1992,65793,870
662,covbzwd,maroon,2011,70823,960
663,gmoxngy,violet,1998,3306,911
664,jvnbcfl,white,2010,57700,595
665,esuzjtb,turquoise,2017,9295,798
666,iknndrw,red,2002,22975,927
667,axhbxss,azure,1993,26561,15
668,hhxftge,plum,2005,40373,694
669,xjzgmgx,gold,2013,75609,201
670,wzgrtif,gold,1993,66499,253
671,vdcgigd,indigo,2007,27082,356
672,wyfrroj,black,2008,8031,381
673,qzmpujl,"sky blue",2012,45149,495
674,oqybues,silver,2007,31696,51
675,nvrmcgn,cyan,2001,13411,102
676,fdviyhy,turquoise,2010,79732,317
677,zvgnpfh,tan,2005,47496,246
678,hrujgga,azure,2016,35419,644
679,jajhxnk,purple,2016,88471,463
680,rzqysyo,maroon,2012,9133,599
681,mamiikb,indigo,2002,96148,770
682,phmhtat,tan,2016,39175,324
683,jxhceyi,"mint green",1991,46978,781
684,mrqslee,silver,1999,74035,593
685,trhklta,violet,2003,49426,113
686,wzubipl,white,2010,71909,511
687,iipggvl,gold,2014,46688,847
688,anxjkec,lime,2006,62347,993
