id,street,housenumber,cityid
792,"Reynolds Port",882,726
793,"Santiago Lodge",5146,338
794,"Barney Greens",90389,12
795,"Machelle Keys",699,93
796,"Braun Village",988,462
797,"Alfonzo Crescent",062,555
798,"Kulas Lock",60766,704
799,"Kautzer Ville",87078,258
800,"Clifton Knolls",3853,555
801,"Schumm Spur",704,438
802,"Ebert Ways",03664,213
803,"Kunde Square",57916,327
804,"Virgil Mountains",663,405
805,"Noble Field",4220,280
806,"Tommy Crescent",621,152
807,"Kristofer Mountains",35566,725
808,"Sheena Via",919,582
809,"Kertzmann Crescent",58315,379
810,"Larson Courts",77437,110
811,"MacGyver Fort",06607,25
812,"O'Reilly Coves",428,644
813,"O'Conner Pike",275,95
814,"Lasonya Forges",473,539
815,"Smitham Streets",5342,107
816,"Hilpert Wall",91755,352
817,"Kerluke Village",60577,473
818,"Stephania Locks",676,313
819,"McClure Flat",906,187
820,"Porfirio Mission",3760,333
821,"Devora Viaduct",375,608
822,"Johnson Common",599,616
823,"Otha Circles",4500,687
824,"Stanford Loop",421,174
825,"Marvin Field",9621,258
826,"Gottlieb Brook",72465,555
827,"Dach Heights",1650,357
828,"Robel Squares",929,720
829,"Joyce Camp",3353,149
830,"Lind Ridges",216,135
831,"Joshua Common",35059,338
832,"Kent Freeway",824,105
833,"Beer Spur",0045,362
834,"Rudolf Rue",926,51
835,"Tonja Vista",2231,505
836,"Mabel Roads",49808,365
837,"Fahey Cliffs",2227,400
838,"Aurelia Pike",61123,692
839,"Okuneva Course",145,389
840,"Margery Mills",0327,447
841,"Deshawn Row",8555,661
842,"Conroy Forks",488,610
843,"Lawanda Views",7001,485
844,"Marylyn Park",667,552
845,"O'Keefe Bypass",5605,149
846,"Cristy Inlet",1022,631
847,"Cody Circle",43133,254
848,"Cinthia Street",973,588
849,"Noelle Inlet",489,23
850,"Treutel Grove",0435,609
851,"Hahn Motorway",89743,658
852,"Carroll Falls",6940,210
853,"Shonta Plaza",523,369
854,"Wisozk Vista",72257,129
855,"Gladys Manors",930,51
856,"Roberts Ridges",956,474
857,"Mason Greens",86214,335
858,"Barbera Spring",5231,263
859,"Yael Brook",63841,656
860,"Robbie Meadow",287,726
861,"Ismael Station",9325,153
862,"Sipes Stream",590,232
863,"Lamar Burg",396,707
864,"Marlys Viaduct",04829,665
865,"Farrell Circles",478,30
866,"Quigley Squares",5923,636
867,"Reichel Shore",381,601
868,"Mohr Fork",426,180
869,"Helaine Vista",34910,388
870,"Stracke Field",957,598
871,"Melda Brook",7661,217
872,"Deshawn Ford",277,373
873,"Baumbach Grove",566,437
874,"MacGyver Pine",6296,239
875,"Melvin Stream",3081,467
876,"Pearly Drive",611,638
877,"Enrique Turnpike",040,33
878,"Sipes Crescent",46163,59
879,"Florida Bridge",417,411
880,"Benito Pass",29675,112
881,"Gerhold Fort",3140,234
882,"Orn Vista",068,440
883,"Ratke Roads",0521,61
884,"Keeling Burgs",67904,162
