id,pickupdate,returndate,customerid,vehicleid
208,2020-04-13,2020-04-13,31876,24421
209,2020-04-13,2020-04-13,5050,5697
210,2020-04-13,2020-04-13,14502,26341
211,2020-04-13,2020-04-13,9820,16052
212,2020-04-13,2020-04-13,31932,46246
213,2020-04-13,2020-04-13,12653,39963
214,2020-04-13,2020-04-13,8199,1209
215,2020-04-13,2020-04-13,19694,29210
216,2020-04-13,2020-04-13,18632,46209
217,2020-04-13,2020-04-13,22571,39130
218,2020-04-13,2020-04-13,3241,14155
219,2020-04-13,2020-04-13,11642,39645
220,2020-04-13,2020-04-13,12798,11418
221,2020-04-13,2020-04-13,17933,26177
222,2020-04-13,2020-04-13,1368,19879
223,2020-04-13,2020-04-13,8744,14331
224,2020-04-13,2020-04-13,14028,51282
225,2020-04-13,2020-04-13,9438,10189
226,2020-04-13,2020-04-13,10275,15370
227,2020-04-13,2020-04-13,27771,44634
228,2020-04-13,2020-04-13,20177,40008
229,2020-04-13,2020-04-13,1857,17302
230,2020-04-13,2020-04-13,16138,10943
231,2020-04-13,2020-04-13,28300,444
232,2020-04-13,2020-04-13,15665,8614
233,2020-04-13,2020-04-13,1298,19533
234,2020-04-13,2020-04-13,27614,43542
235,2020-04-13,2020-04-13,29369,18725
236,2020-04-13,2020-04-13,222,21399
237,2020-04-13,2020-04-13,6877,43248
238,2020-04-13,2020-04-13,28064,33236
239,2020-04-13,2020-04-13,21644,28786
240,2020-04-13,2020-04-13,15845,47401
241,2020-04-13,2020-04-13,32097,43345
242,2020-04-13,2020-04-13,20139,37407
243,2020-04-13,2020-04-13,7094,47040
244,2020-04-13,2020-04-13,19511,21087
245,2020-04-13,2020-04-13,25439,33861
246,2020-04-13,2020-04-13,22894,19480
247,2020-04-13,2020-04-13,12427,14909
248,2020-04-13,2020-04-13,3654,6348
249,2020-04-13,2020-04-13,12289,13778
250,2020-04-13,2020-04-13,6216,44687
251,2020-04-13,2020-04-13,7667,39645
252,2020-04-13,2020-04-13,30161,2059
253,2020-04-13,2020-04-13,2649,33557
254,2020-04-13,2020-04-13,23613,32304
255,2020-04-13,2020-04-13,4456,6338
256,2020-04-13,2020-04-13,5021,15236
257,2020-04-13,2020-04-13,10297,15662
258,2020-04-13,2020-04-13,21326,8555
259,2020-04-13,2020-04-13,11230,45215
260,2020-04-13,2020-04-13,30941,8577
261,2020-04-13,2020-04-13,873,29444
262,2020-04-13,2020-04-13,4065,3176
263,2020-04-13,2020-04-13,798,22788
264,2020-04-13,2020-04-13,10229,45417
265,2020-04-13,2020-04-13,7470,16407
266,2020-04-13,2020-04-13,7221,48081
267,2020-04-13,2020-04-13,249,9470
268,2020-04-13,2020-04-13,19858,32997
269,2020-04-13,2020-04-13,28546,23139
270,2020-04-13,2020-04-13,27309,16644
271,2020-04-13,2020-04-13,8709,14240
272,2020-04-13,2020-04-13,26987,35168
273,2020-04-13,2020-04-13,10676,42946
274,2020-04-13,2020-04-13,28366,6752
275,2020-04-13,2020-04-13,6389,50447
276,2020-04-13,2020-04-13,12932,50995
277,2020-04-13,2020-04-13,31023,15030
278,2020-04-13,2020-04-13,18694,16188
279,2020-04-13,2020-04-13,14481,25535
280,2020-04-13,2020-04-13,29579,40489
281,2020-04-13,2020-04-13,22834,40326
282,2020-04-13,2020-04-13,12484,50567
283,2020-04-13,2020-04-13,4412,24562
284,2020-04-13,2020-04-13,7581,41535
285,2020-04-13,2020-04-13,14071,39406
286,2020-04-13,2020-04-13,26602,43193
287,2020-04-13,2020-04-13,4143,27305
288,2020-04-13,2020-04-13,6585,26097
289,2020-04-13,2020-04-13,15487,5674
290,2020-04-13,2020-04-13,26245,26463
291,2020-04-13,2020-04-13,28886,30310
292,2020-04-13,2020-04-13,14265,48802
293,2020-04-13,2020-04-13,4219,21575
294,2020-04-13,2020-04-13,24826,34651
295,2020-04-13,2020-04-13,5173,26730
296,2020-04-13,2020-04-13,3692,37250
297,2020-04-13,2020-04-13,29912,19136
298,2020-04-13,2020-04-13,2754,21003
299,2020-04-13,2020-04-13,6156,10296
300,2020-04-13,2020-04-13,15193,33019
301,2020-04-13,2020-04-13,8368,43904
302,2020-04-13,2020-04-13,15916,5654
303,2020-04-13,2020-04-13,8159,14246
304,2020-04-13,2020-04-13,814,6810
305,2020-04-13,2020-04-13,21619,28009
306,2020-04-13,2020-04-13,29926,24812
307,2020-04-13,2020-04-13,15965,22287
308,2020-04-13,2020-04-13,5678,40429
309,2020-04-13,2020-04-13,11083,26760
310,2020-04-13,2020-04-13,28479,18368
311,2020-04-13,2020-04-13,7713,4561
312,2020-04-13,2020-04-13,25604,11139
313,2020-04-13,2020-04-13,10592,48852
314,2020-04-13,2020-04-13,8563,21910
315,2020-04-13,2020-04-13,24414,35667
316,2020-04-13,2020-04-13,11832,36325
317,2020-04-13,2020-04-13,17856,6570
318,2020-04-13,2020-04-13,12929,23511
319,2020-04-13,2020-04-13,5640,51075
320,2020-04-13,2020-04-13,11618,12923
321,2020-04-13,2020-04-13,13085,29053
322,2020-04-13,2020-04-13,21170,50672
323,2020-04-13,2020-04-13,25898,9499
324,2020-04-13,2020-04-13,12814,36398
325,2020-04-13,2020-04-13,30236,2016
326,2020-04-13,2020-04-13,4069,44122
327,2020-04-13,2020-04-13,14812,7393
328,2020-04-13,2020-04-13,20459,25506
329,2020-04-13,2020-04-13,12677,41832
330,2020-04-13,2020-04-13,31194,44195
331,2020-04-13,2020-04-13,13748,14182
332,2020-04-13,2020-04-13,10160,48515
333,2020-04-13,2020-04-13,9781,9018
334,2020-04-13,2020-04-13,30270,40821
335,2020-04-13,2020-04-13,32193,27091
336,2020-04-13,2020-04-13,3542,3682
337,2020-04-13,2020-04-13,11718,25656
338,2020-04-13,2020-04-13,6867,24114
339,2020-04-13,2020-04-13,9714,31155
340,2020-04-13,2020-04-13,328,19248
341,2020-04-13,2020-04-13,14057,3779
342,2020-04-13,2020-04-13,15613,50538
343,2020-04-13,2020-04-13,6698,6824
344,2020-04-13,2020-04-13,5107,1625
345,2020-04-13,2020-04-13,30960,2765
346,2020-04-13,2020-04-13,20456,16826
347,2020-04-13,2020-04-13,23542,34561
348,2020-04-13,2020-04-13,5998,18333
349,2020-04-13,2020-04-13,160,105
350,2020-04-13,2020-04-13,20994,48078
351,2020-04-13,2020-04-13,22681,27814
352,2020-04-13,2020-04-13,8776,38707
353,2020-04-13,2020-04-13,31332,29029
354,2020-04-13,2020-04-13,20293,19749
355,2020-04-13,2020-04-13,25855,21498
356,2020-04-13,2020-04-13,28422,19873
357,2020-04-13,2020-04-13,2590,41405
358,2020-04-13,2020-04-13,12093,10128
359,2020-04-13,2020-04-13,8212,10085
360,2020-04-13,2020-04-13,26505,36146
361,2020-04-13,2020-04-13,31027,41322
362,2020-04-13,2020-04-13,27310,14148
363,2020-04-13,2020-04-13,27978,23379
364,2020-04-13,2020-04-13,31647,348
365,2020-04-13,2020-04-13,2249,21349
366,2020-04-13,2020-04-13,3085,9864
367,2020-04-13,2020-04-13,3142,10610
368,2020-04-13,2020-04-13,14954,47477
369,2020-04-13,2020-04-13,20390,38565
370,2020-04-13,2020-04-13,1814,37233
371,2020-04-13,2020-04-13,5987,28843
372,2020-04-13,2020-04-13,14101,15514
373,2020-04-13,2020-04-13,27882,3946
374,2020-04-13,2020-04-13,4950,5785
375,2020-04-13,2020-04-13,5941,35675
376,2020-04-13,2020-04-13,2043,9531
377,2020-04-13,2020-04-13,26242,24236
378,2020-04-13,2020-04-13,12192,13665
379,2020-04-13,2020-04-13,30862,9568
380,2020-04-13,2020-04-13,9572,2825
381,2020-04-13,2020-04-13,15362,49365
382,2020-04-13,2020-04-13,1660,12498
383,2020-04-13,2020-04-13,23279,14838
384,2020-04-13,2020-04-13,32067,50212
385,2020-04-13,2020-04-13,2425,48483
386,2020-04-13,2020-04-13,5339,20559
387,2020-04-13,2020-04-13,23423,26554
388,2020-04-13,2020-04-13,17873,3777
389,2020-04-13,2020-04-13,14533,47251
390,2020-04-13,2020-04-13,13089,25828
391,2020-04-13,2020-04-13,1096,21894
392,2020-04-13,2020-04-13,5189,48952
393,2020-04-13,2020-04-13,10240,41328
394,2020-04-13,2020-04-13,19104,21137
395,2020-04-13,2020-04-13,20105,50789
396,2020-04-13,2020-04-13,2222,39718
397,2020-04-13,2020-04-13,18167,20547
398,2020-04-13,2020-04-13,21521,42180
399,2020-04-13,2020-04-13,11381,5947
400,2020-04-13,2020-04-13,22884,35252
401,2020-04-13,2020-04-13,18306,42716
402,2020-04-13,2020-04-13,27044,4277
403,2020-04-13,2020-04-13,8447,18806
404,2020-04-13,2020-04-13,27775,24320
405,2020-04-13,2020-04-13,5833,1962
406,2020-04-13,2020-04-13,9499,30207
407,2020-04-13,2020-04-13,21383,9479
408,2020-04-13,2020-04-13,53,6809
409,2020-04-13,2020-04-13,15796,20446
410,2020-04-13,2020-04-13,1603,39151
411,2020-04-13,2020-04-13,4931,20166
412,2020-04-13,2020-04-13,20897,33998
413,2020-04-13,2020-04-13,8252,45563
414,2020-04-13,2020-04-13,24099,18270
415,2020-04-13,2020-04-13,10351,10962
416,2020-04-13,2020-04-13,4660,36000
417,2020-04-13,2020-04-13,17044,6187
418,2020-04-13,2020-04-13,4194,12816
419,2020-04-13,2020-04-13,8311,20588
420,2020-04-13,2020-04-13,15160,20681
421,2020-04-13,2020-04-13,1687,39417
422,2020-04-13,2020-04-13,15410,32026
423,2020-04-13,2020-04-13,25673,42341
424,2020-04-13,2020-04-13,10384,26851
425,2020-04-13,2020-04-13,16379,11519
426,2020-04-13,2020-04-13,1332,22694
427,2020-04-13,2020-04-13,22972,48091
428,2020-04-13,2020-04-13,1125,49015
429,2020-04-13,2020-04-13,14457,25478
430,2020-04-13,2020-04-13,18026,29954
431,2020-04-13,2020-04-13,9062,38878
432,2020-04-13,2020-04-13,4216,4952
433,2020-04-13,2020-04-13,6682,38018
434,2020-04-13,2020-04-13,26985,12867
435,2020-04-13,2020-04-13,30668,8922
436,2020-04-13,2020-04-13,24404,37806
437,2020-04-13,2020-04-13,10027,31301
438,2020-04-13,2020-04-13,4043,25001
439,2020-04-13,2020-04-13,8613,12829
440,2020-04-13,2020-04-13,17713,12575
441,2020-04-13,2020-04-13,13917,29064
442,2020-04-13,2020-04-13,18702,40370
443,2020-04-13,2020-04-13,23077,33391
444,2020-04-13,2020-04-13,14548,6016
445,2020-04-13,2020-04-13,17490,41986
446,2020-04-13,2020-04-13,16611,19107
447,2020-04-13,2020-04-13,22280,14274
448,2020-04-13,2020-04-13,29761,37215
449,2020-04-13,2020-04-13,19669,22308
450,2020-04-13,2020-04-13,9796,8113
451,2020-04-13,2020-04-13,28849,7910
452,2020-04-13,2020-04-13,6073,31622
453,2020-04-13,2020-04-13,2458,21537
454,2020-04-13,2020-04-13,18092,18171
455,2020-04-13,2020-04-13,22629,12074
456,2020-04-13,2020-04-13,24927,35482
457,2020-04-13,2020-04-13,6098,22407
458,2020-04-13,2020-04-13,15388,28996
459,2020-04-13,2020-04-13,9308,25335
460,2020-04-13,2020-04-13,30168,35976
461,2020-04-13,2020-04-13,30134,24220
462,2020-04-13,2020-04-13,28443,42039
463,2020-04-13,2020-04-13,22847,18274
464,2020-04-13,2020-04-13,11735,12579
465,2020-04-13,2020-04-13,20027,7492
466,2020-04-13,2020-04-13,26523,4600
467,2020-04-13,2020-04-13,3034,47477
468,2020-04-13,2020-04-13,28689,47960
469,2020-04-13,2020-04-13,17259,17772
470,2020-04-13,2020-04-13,31251,11216
471,2020-04-13,2020-04-13,9736,15710
472,2020-04-13,2020-04-13,3670,42807
473,2020-04-13,2020-04-13,18522,26769
474,2020-04-13,2020-04-13,2322,14261
475,2020-04-13,2020-04-13,18797,48619
476,2020-04-13,2020-04-13,29206,3645
477,2020-04-13,2020-04-13,2175,47297
478,2020-04-13,2020-04-13,29046,8424
479,2020-04-13,2020-04-13,32065,14552
480,2020-04-13,2020-04-13,25816,43307
481,2020-04-13,2020-04-13,18331,42145
482,2020-04-13,2020-04-13,7622,49983
483,2020-04-13,2020-04-13,15501,35547
484,2020-04-13,2020-04-13,14680,17850
485,2020-04-13,2020-04-13,29576,41106
486,2020-04-13,2020-04-13,25579,2592
487,2020-04-13,2020-04-13,21713,45433
488,2020-04-13,2020-04-13,1082,24487
489,2020-04-13,2020-04-13,20082,8561
490,2020-04-13,2020-04-13,3008,17964
491,2020-04-13,2020-04-13,14608,14093
492,2020-04-13,2020-04-13,12817,3862
493,2020-04-13,2020-04-13,9136,51195
494,2020-04-13,2020-04-13,4247,22114
495,2020-04-13,2020-04-13,25615,2851
496,2020-04-13,2020-04-13,14433,37629
497,2020-04-13,2020-04-13,732,8318
498,2020-04-13,2020-04-13,14578,43804
499,2020-04-13,2020-04-13,12,40895
500,2020-04-13,2020-04-13,3708,44107
501,2020-04-13,2020-04-13,1561,43577
502,2020-04-13,2020-04-13,10737,42256
503,2020-04-13,2020-04-13,10204,24027
504,2020-04-13,2020-04-13,15718,1369
505,2020-04-13,2020-04-13,3432,22040
506,2020-04-13,2020-04-13,21258,1986
507,2020-04-13,2020-04-13,18821,51139
508,2020-04-13,2020-04-13,4020,15241
509,2020-04-13,2020-04-13,23780,34434
510,2020-04-13,2020-04-13,30735,27508
511,2020-04-13,2020-04-13,16470,25425
512,2020-04-13,2020-04-13,767,24347
513,2020-04-13,2020-04-13,28399,7873
514,2020-04-13,2020-04-13,3521,5207
515,2020-04-13,2020-04-13,8865,9762
516,2020-04-13,2020-04-13,21158,26080
517,2020-04-13,2020-04-13,28899,24642
518,2020-04-13,2020-04-13,9592,21171
519,2020-04-13,2020-04-13,30777,34426
520,2020-04-13,2020-04-13,4572,50060
521,2020-04-13,2020-04-13,31240,50861
522,2020-04-13,2020-04-13,24012,48244
523,2020-04-13,2020-04-13,13880,36351
524,2020-04-13,2020-04-13,7816,16676
525,2020-04-13,2020-04-13,3096,46041
526,2020-04-13,2020-04-13,13278,5137
527,2020-04-13,2020-04-13,22044,2081
528,2020-04-13,2020-04-13,18516,30720
529,2020-04-13,2020-04-13,29584,25469
530,2020-04-13,2020-04-13,25585,2897
531,2020-04-13,2020-04-13,8403,19578
532,2020-04-13,2020-04-13,5405,22927
533,2020-04-13,2020-04-13,16066,16910
534,2020-04-13,2020-04-13,16860,16233
535,2020-04-13,2020-04-13,21050,16845
536,2020-04-13,2020-04-13,12206,47411
537,2020-04-13,2020-04-13,862,26811
538,2020-04-13,2020-04-13,31844,1607
539,2020-04-13,2020-04-13,3432,48753
540,2020-04-13,2020-04-13,31379,36693
541,2020-04-13,2020-04-13,25632,46925
542,2020-04-13,2020-04-13,24961,40265
543,2020-04-13,2020-04-13,25873,10377
544,2020-04-13,2020-04-13,980,20328
545,2020-04-13,2020-04-13,1965,26381
546,2020-04-13,2020-04-13,24325,15245
547,2020-04-13,2020-04-13,29369,15981
548,2020-04-13,2020-04-13,26367,12042
549,2020-04-13,2020-04-13,30737,32478
550,2020-04-13,2020-04-13,12854,18386
551,2020-04-13,2020-04-13,23845,22780
552,2020-04-13,2020-04-13,9341,1191
553,2020-04-13,2020-04-13,16104,45627
554,2020-04-13,2020-04-13,14524,25013
555,2020-04-13,2020-04-13,27727,22296
556,2020-04-13,2020-04-13,367,32948
557,2020-04-13,2020-04-13,11677,8650
558,2020-04-13,2020-04-13,22415,12338
559,2020-04-13,2020-04-13,22391,4793
560,2020-04-13,2020-04-13,5636,38333
561,2020-04-13,2020-04-13,9449,50197
562,2020-04-13,2020-04-13,27831,41663
563,2020-04-13,2020-04-13,31244,25549
564,2020-04-13,2020-04-13,6295,11660
565,2020-04-13,2020-04-13,20796,21393
566,2020-04-13,2020-04-13,18703,17167
567,2020-04-13,2020-04-13,27177,25124
568,2020-04-13,2020-04-13,444,5186
569,2020-04-13,2020-04-13,24250,24203
570,2020-04-13,2020-04-13,13211,3487
571,2020-04-13,2020-04-13,7333,37735
572,2020-04-13,2020-04-13,9324,4907
573,2020-04-13,2020-04-13,14087,27010
574,2020-04-13,2020-04-13,13869,13915
575,2020-04-13,2020-04-13,25533,24999
576,2020-04-13,2020-04-13,16036,10998
577,2020-04-13,2020-04-13,27394,17116
578,2020-04-13,2020-04-13,17870,33480
579,2020-04-13,2020-04-13,26048,17282
580,2020-04-13,2020-04-13,4454,26151
581,2020-04-13,2020-04-13,30223,36143
582,2020-04-13,2020-04-13,29810,37171
583,2020-04-13,2020-04-13,31483,34480
584,2020-04-13,2020-04-13,10970,35793
585,2020-04-13,2020-04-13,22243,13436
586,2020-04-13,2020-04-13,22087,39031
587,2020-04-13,2020-04-13,20563,21196
588,2020-04-13,2020-04-13,30690,29722
589,2020-04-13,2020-04-13,938,37936
590,2020-04-13,2020-04-13,24012,20306
591,2020-04-13,2020-04-13,18956,47300
592,2020-04-13,2020-04-13,17531,13458
593,2020-04-13,2020-04-13,13687,30579
594,2020-04-13,2020-04-13,14526,47383
595,2020-04-13,2020-04-13,32030,25913
596,2020-04-13,2020-04-13,20649,31760
597,2020-04-13,2020-04-13,16547,47961
598,2020-04-13,2020-04-13,19027,18487
599,2020-04-13,2020-04-13,14560,12888
600,2020-04-13,2020-04-13,21190,46936
601,2020-04-13,2020-04-13,1316,3166
602,2020-04-13,2020-04-13,26716,20713
603,2020-04-13,2020-04-13,17169,31902
604,2020-04-13,2020-04-13,31014,43155
605,2020-04-13,2020-04-13,13197,11400
606,2020-04-13,2020-04-13,29180,34537
607,2020-04-13,2020-04-13,8243,3018
608,2020-04-13,2020-04-13,2401,15491
609,2020-04-13,2020-04-13,15190,32026
610,2020-04-13,2020-04-13,8601,44063
611,2020-04-13,2020-04-13,5043,26626
612,2020-04-13,2020-04-13,27654,37628
613,2020-04-13,2020-04-13,14765,10516
614,2020-04-13,2020-04-13,27386,8316
615,2020-04-13,2020-04-13,27344,27428
616,2020-04-13,2020-04-13,20996,29465
617,2020-04-13,2020-04-13,27069,30946
618,2020-04-13,2020-04-13,16478,12184
619,2020-04-13,2020-04-13,27225,7803
620,2020-04-13,2020-04-13,10545,17067
621,2020-04-13,2020-04-13,29449,9333
622,2020-04-13,2020-04-13,4821,1276
623,2020-04-13,2020-04-13,16482,48108
624,2020-04-13,2020-04-13,24650,6069
625,2020-04-13,2020-04-13,25509,15537
626,2020-04-13,2020-04-13,29739,36415
627,2020-04-13,2020-04-13,2994,49842
628,2020-04-13,2020-04-13,24387,14164
629,2020-04-13,2020-04-13,4610,36701
630,2020-04-13,2020-04-13,22070,6049
631,2020-04-13,2020-04-13,3386,30562
632,2020-04-13,2020-04-13,4872,27637
633,2020-04-13,2020-04-13,2910,27201
634,2020-04-13,2020-04-13,6471,50607
635,2020-04-13,2020-04-13,21392,47711
